,,,,,,
Sales & Profit By Category,,,,,Sales By Month,
Category,SUM of Sales,SUM of Profit,,,Month-Year,SUM of Sales
Furniture,451508.6452,10006.6112,,,Apr-2019,38750.039
Office Supplies,643707.687,74797.2461,,,Apr-2020,50807.5361
Technology,470587.991,90458.2486,,,Aug-2019,31115.3743
Grand Total,1565804.323,175262.1059,,,Aug-2020,77338.888
,,,,,Dec-2019,78399.043
,,,,,Dec-2020,166185.8488
,,,,,Feb-2019,19978.815
Sales & Profit By Region,,,,,Feb-2020,52068.1334
Region,SUM of Sales,SUM of Profit,,,Jan-2019,18616.431
Central,341007.5242,27450.0071,,,Jan-2020,54763.374
East,450234.666,53400.4243,,,Jul-2019,39261.963
South,252121.081,26551.7163,,,Jul-2020,60077.416
West,522441.052,67859.9582,,,Jun-2019,40344.534
Grand Total,1565804.323,175262.1059,,,Jun-2020,69242.7257
,,,,,Mar-2019,51715.875
,,,,,Mar-2020,64229.3528
,,,,,May-2019,50987.728
,,,,,May-2020,66750.1102
Sales & Profit By Customer Segment,,,,,Nov-2019,79411.9658
Segment,SUM of Sales,SUM of Profit,,,Nov-2020,130960.825
Consumer,753002.1291,81338.5875,,,Oct-2019,42687.745
Corporate,509743.1262,57805.7991,,,Oct-2020,88896.9232
Home Office,303059.0679,36117.7193,,,Sep-2019,73410.0249
Grand Total,1565804.323,175262.1059,,,Sep-2020,119803.652
,,,,,Grand Total,1565804.323